Temperatura,Umidade,Vento
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
35.5,40.0,8.5
28.0,75.0,12.0
10.0,50.0,30.0
26.8,65.5,18.4
32.1,88.0,2.5
22.4,55.0,20.1
18.5,80.0,10.0
25.5,60.0,15.2
30.0,85.0,5.0
15.0,90.0,25.0
